Config,FFT MAE,FFT MAE_Std,FFT RMSE,FFT RMSE_Std,FFT MAPE,FFT MAPE_Std,FFT Pearson,FFT Pearson_Std,FFT SNR,FFT SNR_Std,FFT MACC,FFT MACC_Std
PURE_UBFC-rPPG_PHYSFORMER_BASIC.yaml,0.732421875,0.62863248,2.297517648,2.233160295,1.021830857,0.905283017,0.996604083,0.026039014,,,,
PURE_UBFC-rPPG_RHYTHMFORMER_BASIC.yaml,1.025390625,0.44350347,2.142881666,1.653112947,0.950942993,0.399581581,0.974472844,0.056126351,1.975817307,0.928037285,,
SCAMPS_UBFC-rPPG_FactorizePhys_FSAM_Res.yaml,1.171875,0.632884834,2.485922278,1.997260605,1.46639664,0.846168029,0.993709059,0.035415119,1.101641752,0.798056266,0.833697146,0.01566671
PURE_UBFC-rPPG_TSCAN_BASIC.yaml,1.352163462,0.506454195,2.915002257,1.867668074,1.561015695,0.613466677,0.989263577,0.029831175,,,,
PURE_UBFC-rPPG_FactorizePhys_FSAM_Res.yaml,1.428222656,0.956977921,3.060436877,2.692986512,1.878596087,1.33917563,0.992430817,0.050134941,1.364642577,1.297463981,0.857849095,0.018582713
PURE_UBFC-rPPG_PHYSMAMBA_BASIC.yaml,1.598011364,0.866603948,3.288566063,2.55060577,1.807586696,1.05725825,0.985696056,0.05617758,0.308163292,0.974056313,,
PURE_UBFC-rPPG_PHYSNET_BASIC.yaml,1.611328125,0.48332445,3.099105361,1.912248038,1.664771635,0.514460567,0.983681962,0.034000944,,,,
PURE_UBFC-rPPG_DEEPPHYS_BASIC.yaml,1.822916667,0.610602684,3.659178515,2.384448533,2.114383157,0.729489546,0.983630618,0.036039316,,,,
PURE_UBFC-rPPG_EFFICIENTPHYS.yaml,3.125,2.21370123,11.91966441,11.5538903,3.118396053,2.040940935,0.808292273,0.117756291,,,,
PURE_UBFC-rPPG_iBVPNet_BASIC.yaml,3.1640625,1.13817511,5.993341566,4.475003229,3.06191722,1.062896984,0.906133953,0.0996999,,,0.741735214,0.019018347
SCAMPS_UBFC-rPPG_PHYSFORMER_BASIC.yaml,5.113636364,2.493381926,12.76410014,11.28527794,6.162168232,3.455593697,0.744095137,0.149385814,,,,
SCAMPS_UBFC-rPPG_DEEPPHYS_BASIC.yaml,6.042480469,3.05794356,16.15351422,13.03949374,6.016291741,2.888351674,0.718630573,0.148258083,,,,
SCAMPS_UBFC-rPPG_PHYSNET_BASIC.yaml,6.246512277,1.847100863,11.59951725,7.655056504,6.019462385,1.727951215,0.748808235,0.129983169,,,,
SCAMPS_UBFC-rPPG_TSCAN_BASIC.yaml,6.958007813,3.155759584,16.95362846,13.45539851,6.475296751,2.711935439,0.715306711,0.148986929,,,,
UBFC-rPPG_UNSUPERVISED.yaml,14.36070033,4.532065388,27.95244142,17.44412328,13.47080389,4.021465277,0.424645012,0.177555692,,,,
SCAMPS_UBFC-rPPG_EFFICIENTPHYS.yaml,75.87890625,3.372559218,77.87625195,23.88835063,79.18259794,7.646742688,,,,,,
